round,val_acc,val_loss,comm_cost_mb
1,43.84,1.7004,21.8
2,57.54,1.1971,43.61
3,62.7,1.1618,65.41
4,64.64,0.9732,87.22
5,67.85,0.8896,109.02
6,69.35,0.874,130.82
7,66.77,0.9528,152.63
8,67.65,0.9189,174.43
9,72.07,0.8651,196.24
10,72.34,0.7998,218.04
11,71.38,0.8534,239.84
12,72.09,0.8408,261.65
13,71.03,0.8735,283.45
14,72.83,0.8252,305.25
15,73.68,0.7752,327.06
16,73.09,0.8135,348.86
17,74.0,0.7826,370.67
18,73.48,0.8357,392.47
19,73.36,0.8566,414.27
20,73.91,0.7862,436.08
21,72.84,0.9395,457.88
22,76.35,0.7099,479.69
23,73.95,0.8852,501.49
24,75.47,0.8078,523.29
25,75.23,0.7888,545.1
26,74.98,0.8713,566.9
27,74.98,0.8195,588.71
28,73.99,0.9314,610.51
29,74.63,0.7886,632.31
30,73.83,0.889,654.12
31,74.76,0.8162,675.92
32,75.47,0.7966,697.73
33,73.88,0.8708,719.53
34,77.24,0.7212,741.33
35,75.91,0.7636,763.14
36,75.21,0.7728,784.94
37,76.54,0.7913,806.75
38,75.4,0.8649,828.55
39,75.11,0.8777,850.35
40,77.65,0.7171,872.16
41,77.62,0.7121,893.96
42,75.95,0.8203,915.76
43,76.0,0.8396,937.57
44,74.76,0.9243,959.37
45,76.09,0.8346,981.18
46,75.4,0.7843,1002.98
47,76.24,0.8421,1024.78
48,75.0,0.9244,1046.59
49,74.34,0.8349,1068.39
50,77.66,0.7303,1090.2
51,76.33,0.8217,1112.0
52,76.21,0.8497,1133.8
53,75.81,0.8185,1155.61
54,74.11,0.9088,1177.41
55,77.06,0.818,1199.22
56,77.49,0.7591,1221.02
57,76.76,0.8542,1242.82
58,74.01,0.883,1264.63
59,75.65,0.7975,1286.43
60,77.4,0.7506,1308.24
61,76.62,0.8078,1330.04
62,75.18,0.9001,1351.84
63,76.91,0.8001,1373.65
64,76.2,0.84,1395.45
65,75.53,0.921,1417.25
66,75.27,0.8423,1439.06
67,75.88,0.8547,1460.86
68,76.05,0.8363,1482.67
69,76.54,0.8286,1504.47
70,74.64,1.0148,1526.27
71,75.13,0.8868,1548.08
72,76.26,0.8981,1569.88
73,75.46,0.8964,1591.69
74,76.79,0.8482,1613.49
75,76.94,0.8932,1635.29
76,75.82,0.8213,1657.1
77,76.12,0.9155,1678.9
78,77.7,0.7794,1700.71
79,76.3,0.8874,1722.51
80,76.52,0.8093,1744.31
81,77.07,0.8104,1766.12
82,73.41,0.9862,1787.92
83,77.09,0.7852,1809.73
84,74.76,1.0191,1831.53
85,75.96,0.9236,1853.33
86,75.19,0.9605,1875.14
87,75.85,0.8179,1896.94
88,77.33,0.777,1918.74
89,75.41,0.8453,1940.55
90,77.15,0.814,1962.35
91,74.61,0.9285,1984.16
92,77.2,0.8409,2005.96
93,75.83,0.9143,2027.76
94,74.54,1.0871,2049.57
95,76.53,0.8408,2071.37
96,76.68,0.9,2093.18
97,74.23,1.0024,2114.98
98,74.5,0.9625,2136.78
99,78.15,0.7705,2158.59
100,76.01,0.9089,2180.39
