round,val_acc,val_loss,comm_cost_mb,mia_probe_score
1,93.56,0.2148,16.87,0.5
2,98.22,0.0548,33.73,0.5
3,98.36,0.049,50.6,0.5
4,98.85,0.0354,67.46,0.5
5,98.76,0.0388,84.33,0.5
6,98.9,0.0355,101.19,0.5
7,98.93,0.0334,118.06,0.5
8,99.04,0.0311,134.93,0.5
9,98.88,0.0387,151.79,0.5
10,99.0,0.035,168.66,0.5
11,99.08,0.0323,185.52,0.5
12,99.15,0.0297,202.39,0.5
13,99.14,0.0293,219.25,0.5
14,99.08,0.0305,236.12,0.5
15,99.17,0.0278,252.99,0.5
16,99.01,0.0322,269.85,0.5
17,99.17,0.0303,286.72,0.5
18,99.2,0.0282,303.58,0.5
19,99.15,0.0297,320.45,0.5
20,99.2,0.0295,337.31,0.5
21,99.0,0.0338,354.18,0.5
22,99.1,0.0323,371.04,0.5
23,99.12,0.0297,387.91,0.5
24,99.18,0.0288,404.78,0.5
25,99.16,0.0304,421.64,0.5
26,99.15,0.0328,438.51,0.5
27,99.21,0.03,455.37,0.5
28,99.06,0.0364,472.24,0.5
29,99.13,0.0324,489.1,0.5
30,99.14,0.0321,505.97,0.5
31,99.11,0.0328,522.84,0.5
32,99.22,0.0319,539.7,0.5
33,99.06,0.0333,556.57,0.5
34,99.2,0.0318,573.43,0.5
35,99.04,0.0365,590.3,0.5
36,99.18,0.0308,607.16,0.5
37,99.19,0.0322,624.03,0.5
38,99.09,0.0346,640.9,0.5
39,99.08,0.0348,657.76,0.5
40,99.11,0.0331,674.63,0.5
41,99.16,0.0323,691.49,0.5
42,99.17,0.0307,708.36,0.5
43,99.18,0.0305,725.22,0.5
44,99.18,0.0314,742.09,0.5
45,99.13,0.0331,758.96,0.5
46,99.28,0.0306,775.82,0.5
47,99.15,0.0338,792.69,0.5
48,99.08,0.0365,809.55,0.5
49,99.13,0.0341,826.42,0.5
50,99.2,0.0326,843.28,0.5
51,99.18,0.0318,860.15,0.5
52,99.18,0.0329,877.02,0.5
53,99.25,0.0304,893.88,0.5
54,99.22,0.0314,910.75,0.5
55,99.2,0.0314,927.61,0.5
56,99.24,0.0316,944.48,0.5
57,99.19,0.0346,961.34,0.5
58,99.2,0.0334,978.21,0.5
59,99.15,0.0341,995.08,0.5
60,99.2,0.035,1011.94,0.5
61,99.19,0.034,1028.81,0.5
62,99.1,0.0361,1045.67,0.5
63,99.14,0.0348,1062.54,0.5
64,99.08,0.0356,1079.4,0.5
65,99.14,0.0351,1096.27,0.5
66,99.2,0.0365,1113.13,0.5
67,99.16,0.0351,1130.0,0.5
68,99.17,0.036,1146.87,0.5
69,99.12,0.036,1163.73,0.5
70,99.13,0.038,1180.6,0.5
71,99.2,0.0343,1197.46,0.5
72,99.13,0.0352,1214.33,0.5
73,99.17,0.0357,1231.19,0.5
74,99.19,0.0343,1248.06,0.5
75,99.18,0.0349,1264.93,0.5
76,99.17,0.0375,1281.79,0.5
77,99.26,0.0342,1298.66,0.5
78,99.21,0.0338,1315.52,0.5
79,99.18,0.0369,1332.39,0.5
80,99.21,0.034,1349.25,0.5
81,99.29,0.0342,1366.12,0.5
82,99.23,0.0347,1382.99,0.5
83,99.2,0.0344,1399.85,0.5
84,99.11,0.0365,1416.72,0.5
85,99.1,0.0399,1433.58,0.5
86,99.22,0.0344,1450.45,0.5
87,99.23,0.0348,1467.31,0.5
88,99.23,0.036,1484.18,0.5
89,99.2,0.0363,1501.05,0.5
90,99.2,0.0366,1517.91,0.5
91,99.22,0.0362,1534.78,0.5
92,99.21,0.0362,1551.64,0.5
93,99.24,0.0368,1568.51,0.5
94,99.14,0.0384,1585.37,0.5
95,99.2,0.0378,1602.24,0.5
96,99.13,0.039,1619.11,0.5
97,99.22,0.0377,1635.97,0.5
98,99.19,0.0387,1652.84,0.5
99,99.22,0.0374,1669.7,0.5
100,99.23,0.0376,1686.57,0.5
